Date,Time,COOK AND PHILLIP AQI hourly AQI [index]
20/12/2019,6:00,284
20/12/2019,7:00,278
20/12/2019,8:00,271
20/12/2019,9:00,253
20/12/2019,10:00,232
20/12/2019,11:00,202
20/12/2019,12:00,171
20/12/2019,13:00,138
20/12/2019,14:00,105
20/12/2019,15:00,78
20/12/2019,16:00,65
20/12/2019,17:00,61
20/12/2019,18:00,60
20/12/2019,19:00,61
20/12/2019,20:00,62
20/12/2019,21:00,64
20/12/2019,22:00,64
20/12/2019,23:00,65
20/12/2019,24:00:00,64
21/12/2019,1:00,63
21/12/2019,2:00,63
21/12/2019,3:00,62
21/12/2019,4:00,63
21/12/2019,5:00,63
21/12/2019,6:00,64
21/12/2019,7:00,100
21/12/2019,8:00,110
21/12/2019,9:00,115
21/12/2019,10:00,102
21/12/2019,11:00,87
21/12/2019,12:00,91
21/12/2019,13:00,94
21/12/2019,14:00,101
21/12/2019,15:00,106
21/12/2019,16:00,112
21/12/2019,17:00,115
21/12/2019,18:00,120
21/12/2019,19:00,119
21/12/2019,20:00,119
21/12/2019,21:00,118
21/12/2019,22:00,118
21/12/2019,23:00,120
21/12/2019,24:00:00,127
22/12/2019,1:00,128
22/12/2019,2:00,129
22/12/2019,3:00,130
22/12/2019,4:00,126
22/12/2019,5:00,132
22/12/2019,6:00,132
22/12/2019,7:00,130
22/12/2019,8:00,122
22/12/2019,9:00,114
22/12/2019,10:00,110
22/12/2019,11:00,106
22/12/2019,12:00,103
22/12/2019,13:00,101
22/12/2019,14:00,98
22/12/2019,15:00,93
22/12/2019,16:00,91
22/12/2019,17:00,88
22/12/2019,18:00,83
22/12/2019,19:00,80
22/12/2019,20:00,77
22/12/2019,21:00,76
22/12/2019,22:00,76
22/12/2019,23:00,75
22/12/2019,24:00:00,71
23/12/2019,1:00,71
23/12/2019,2:00,70
23/12/2019,3:00,70
23/12/2019,4:00,69
23/12/2019,5:00,67
23/12/2019,6:00,66
23/12/2019,7:00,66
23/12/2019,8:00,66
23/12/2019,9:00,67
23/12/2019,10:00,68
23/12/2019,11:00,68
23/12/2019,12:00,68
23/12/2019,13:00,68
23/12/2019,14:00,67
23/12/2019,15:00,69
23/12/2019,16:00,69
23/12/2019,17:00,68
23/12/2019,18:00,68
23/12/2019,19:00,69
23/12/2019,20:00,67
23/12/2019,21:00,67
23/12/2019,22:00,67
23/12/2019,23:00,64
23/12/2019,24:00:00,65
24/12/2019,1:00,63
24/12/2019,2:00,62
24/12/2019,3:00,61
24/12/2019,4:00,60
24/12/2019,5:00,59
24/12/2019,6:00,58
24/12/2019,7:00,56
24/12/2019,8:00,55
24/12/2019,9:00,51
24/12/2019,10:00,49
24/12/2019,11:00,47
24/12/2019,12:00,49
24/12/2019,13:00,48
24/12/2019,14:00,49
24/12/2019,15:00,48
24/12/2019,16:00,45
24/12/2019,17:00,43
24/12/2019,18:00,41
24/12/2019,19:00,37
24/12/2019,20:00,37
24/12/2019,21:00,39
24/12/2019,22:00,42
24/12/2019,23:00,49
24/12/2019,24:00:00,46
25/12/2019,1:00,47
25/12/2019,2:00,49
25/12/2019,3:00,49
25/12/2019,4:00,49
25/12/2019,5:00,50
25/12/2019,6:00,51
25/12/2019,7:00,53
25/12/2019,8:00,58
25/12/2019,9:00,60
25/12/2019,10:00,61
25/12/2019,11:00,61
25/12/2019,12:00,61
25/12/2019,13:00,62
25/12/2019,14:00,62
25/12/2019,15:00,62
25/12/2019,16:00,66
25/12/2019,17:00,67
25/12/2019,18:00,73
25/12/2019,19:00,71
25/12/2019,20:00,74
25/12/2019,21:00,69
25/12/2019,22:00,69
25/12/2019,23:00,63
25/12/2019,24:00:00,63
26/12/2019,1:00,61
26/12/2019,2:00,61
26/12/2019,3:00,61
26/12/2019,4:00,60
26/12/2019,5:00,60
26/12/2019,6:00,60
26/12/2019,7:00,59
26/12/2019,8:00,55
26/12/2019,9:00,55
26/12/2019,10:00,53
26/12/2019,11:00,54
26/12/2019,12:00,55
26/12/2019,13:00,53
26/12/2019,14:00,52
26/12/2019,15:00,50
26/12/2019,16:00,48
26/12/2019,17:00,46
26/12/2019,18:00,43
26/12/2019,19:00,44
26/12/2019,20:00,43
26/12/2019,21:00,45
26/12/2019,22:00,42
26/12/2019,23:00,42
26/12/2019,24:00:00,42
27/12/2019,1:00,40
27/12/2019,2:00,40
27/12/2019,3:00,40
27/12/2019,4:00,41
27/12/2019,5:00,40
27/12/2019,6:00,39
27/12/2019,7:00,38
27/12/2019,8:00,38
27/12/2019,9:00,35
27/12/2019,10:00,34
27/12/2019,11:00,32
27/12/2019,12:00,29
27/12/2019,13:00,27
27/12/2019,14:00,27
27/12/2019,15:00,26
27/12/2019,16:00,26
27/12/2019,17:00,25
27/12/2019,18:00,25
27/12/2019,19:00,24
27/12/2019,20:00,28
27/12/2019,21:00,27
27/12/2019,22:00,25
27/12/2019,23:00,27
27/12/2019,24:00:00,27
28/12/2019,1:00,26
28/12/2019,2:00,27
28/12/2019,3:00,26
28/12/2019,4:00,27
28/12/2019,5:00,27
28/12/2019,6:00,26
28/12/2019,7:00,26
28/12/2019,8:00,27
28/12/2019,9:00,26
28/12/2019,10:00,27
28/12/2019,11:00,29
28/12/2019,12:00,31
28/12/2019,13:00,34
28/12/2019,14:00,35
28/12/2019,15:00,36
28/12/2019,16:00,34
28/12/2019,17:00,34
28/12/2019,18:00,35
28/12/2019,19:00,36
28/12/2019,20:00,33
28/12/2019,21:00,33
28/12/2019,22:00,37
28/12/2019,23:00,36
28/12/2019,24:00:00,38
29/12/2019,1:00,40
29/12/2019,2:00,41
29/12/2019,3:00,41
29/12/2019,4:00,42
29/12/2019,5:00,42
29/12/2019,6:00,42
29/12/2019,7:00,43
29/12/2019,8:00,43
29/12/2019,9:00,46
29/12/2019,10:00,49
29/12/2019,11:00,47
29/12/2019,12:00,47
29/12/2019,13:00,48
29/12/2019,14:00,50
29/12/2019,15:00,49
29/12/2019,16:00,51
29/12/2019,17:00,52
29/12/2019,18:00,54
29/12/2019,19:00,53
29/12/2019,20:00,54
29/12/2019,21:00,53
29/12/2019,22:00,53
29/12/2019,23:00,53
29/12/2019,24:00:00,54
30/12/2019,1:00,53
30/12/2019,2:00,53
30/12/2019,3:00,56
30/12/2019,4:00,54
30/12/2019,5:00,55
30/12/2019,6:00,55
30/12/2019,7:00,56
30/12/2019,8:00,57
30/12/2019,9:00,59
30/12/2019,10:00,61
30/12/2019,11:00,63
30/12/2019,12:00,64
30/12/2019,13:00,63
30/12/2019,14:00,64
30/12/2019,15:00,64
30/12/2019,16:00,63
30/12/2019,17:00,63
30/12/2019,18:00,63
30/12/2019,19:00,65
30/12/2019,20:00,68
30/12/2019,21:00,69
30/12/2019,22:00,66
30/12/2019,23:00,69
30/12/2019,24:00:00,71
31/12/2019,1:00,73
31/12/2019,2:00,75
31/12/2019,3:00,77
31/12/2019,4:00,79
31/12/2019,5:00,80
31/12/2019,6:00,82
31/12/2019,7:00,84
31/12/2019,8:00,90
31/12/2019,9:00,95
31/12/2019,10:00,96
31/12/2019,11:00,105
31/12/2019,12:00,107
31/12/2019,13:00,114
31/12/2019,14:00,120
31/12/2019,15:00,130
31/12/2019,16:00,140
31/12/2019,17:00,147
31/12/2019,18:00,151
31/12/2019,19:00,149
31/12/2019,20:00,149
31/12/2019,21:00,145
31/12/2019,22:00,139
31/12/2019,23:00,138
31/12/2019,24:00:00,137
1/1/2020,1:00,136
1/1/2020,2:00,134
1/1/2020,3:00,133
1/1/2020,4:00,132
1/1/2020,5:00,132
1/1/2020,6:00,132
1/1/2020,7:00,131
1/1/2020,8:00,127
1/1/2020,9:00,123
1/1/2020,10:00,118
1/1/2020,11:00,115
1/1/2020,12:00,152
1/1/2020,13:00,159
1/1/2020,14:00,116
1/1/2020,15:00,110
1/1/2020,16:00,107
1/1/2020,17:00,105
1/1/2020,18:00,105
1/1/2020,19:00,107
1/1/2020,20:00,104
1/1/2020,21:00,103
1/1/2020,22:00,102
1/1/2020,23:00,102
1/1/2020,24:00:00,103
2/1/2020,1:00,104
2/1/2020,2:00,105
2/1/2020,3:00,109
2/1/2020,4:00,120
2/1/2020,5:00,197
2/1/2020,6:00,133
2/1/2020,7:00,132
2/1/2020,8:00,130
2/1/2020,9:00,128
2/1/2020,10:00,131
2/1/2020,11:00,127
2/1/2020,12:00,112
2/1/2020,13:00,105
2/1/2020,14:00,94
2/1/2020,15:00,95
2/1/2020,16:00,90
2/1/2020,17:00,88
2/1/2020,18:00,81
2/1/2020,19:00,78
2/1/2020,20:00,79
2/1/2020,21:00,79
2/1/2020,22:00,82
2/1/2020,23:00,83
2/1/2020,24:00:00,80
3/1/2020,1:00,81
3/1/2020,2:00,79
3/1/2020,3:00,78
3/1/2020,4:00,77
3/1/2020,5:00,67
3/1/2020,6:00,60
